Name;Path;URL;Kolonne1;Kolonne3
NAV Hjelpemiddelsentral Møre og Romsdal;/www.nav.no/no/lokalt/more-og-romsdal/nav-hjelpemiddelsentral-more-og-romsdal;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=5;;
NAV Hjelpemiddelsentral Nordland;/www.nav.no/no/lokalt/nordland/nav-hjelpemiddelsentral-nordland;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=6;;
NAV Hjelpemiddelsentral Oppland;/www.nav.no/no/lokalt/oppland/nav-hjelpemiddelsentral-oppland;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=7;;
NAV Hjelpemiddelsentral Oslo og Akershus;/www.nav.no/no/lokalt/oslo/nav-hjelpemiddelsentral-oslo-og-akershus;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=8;;
NAV Hjelpemiddelsentral Rogaland;/www.nav.no/no/lokalt/rogaland/nav-hjelpemiddelsentral-rogaland;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=9;;
NAV Hjelpemiddelsentral Sogn og Fjordane;/www.nav.no/no/lokalt/sogn-og-fjordane/nav-hjelpemiddelsentral-sogn-og-fjordane;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=10;;
NAV Hjelpemiddelsentral Telemark;/www.nav.no/no/lokalt/telemark/nav-hjelpemiddelsentral-telemark;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=11;;
NAV Hjelpemiddelsentral Troms;/www.nav.no/no/lokalt/troms/nav-hjelpemiddelsentral-troms;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=12;;
NAV Hjelpemiddelsentral Trøndelag;/www.nav.no/no/lokalt/trondelag/nav-hjelpemiddelsentral-trondelag;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=13;;
NAV Hjelpemiddelsentral Vest-Agder;/www.nav.no/no/lokalt/vest-agder/nav-hjelpemiddelsentral-vest-agder;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=14;;
NAV Hjelpemiddelsentral Vestfold;/www.nav.no/no/lokalt/vestfold/nav-hjelpemiddelsentral-vestfold;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=15;;
